product_id,title,rating,sales,query
p053,Padi Coklat Lokal Unggul,4.1,220,padi coklat lokal unggul
p054,Beras Cap Jempol Medium 10kg,4.3,900,beras cap jempol medium 10 kilo
p055,Beras IR64 Lokal Super,4.2,950,beras ir64 lokal super
p056,Padi Petani Mandiri IR64,3.8,210,padi petani mandiri ir64
p057,Beras Organik Cap Daun 4kg,4.7,850,beras organik cap daun 4 kilo
p058,Beras Ketan Hitam Cap Bulan,4.5,530,beras ketan hitam cap bulan
p059,Padi Inpari 32 Anti Hama,4.0,350,padi inpari 32 tahan hama
p060,Beras Wangi Thailand Import 5kg,4.9,1650,beras wangi thailand import asli
p061,Beras Super Premium 5kg,4.8,1200,beras super premium 5 kilo
p062,Padi IR64 Unggul,4.3,450,padi ir64 unggul panen melimpah
p063,Beras Putih Cap Ayam 7kg,4.5,1100,beras putih cap ayam 7 kilo
p064,Beras Merah Organik 3kg,4.6,700,beras merah organik 3 kilo
p065,Padi Hibrida Inpari 30,4.0,260,padi hibrida inpari 30 bagus
p066,Beras Hitam Ketan Organik 2kg,4.8,500,beras hitam ketan organik
p067,Beras Coklat Sehat 3kg,4.4,630,beras coklat sehat 3 kilo
p068,Padi Lokal IR42 Unggul,4.2,390,padi lokal ir42 unggul
p069,Beras Putih Medium 7kg,4.3,1050,beras putih medium 7 kilo
p070,Beras Pandan Wangi Super,4.9,1720,beras pandan wangi super
p071,Padi IR42 Grade B,4.1,310,padi ir42 grade b
p072,Beras Rendah Gula Cap Sehat 3kg,4.6,700,beras rendah gula cap sehat
p073,Beras Organik Cap Daun 3kg,4.7,720,beras organik cap daun 3 kilo
p074,Padi Gogo Tahan Kekeringan,3.9,240,padi gogo tahan kekeringan
p075,Beras Super IR64 Cap Kupu 3kg,4.5,910,beras super ir64 cap kupu
p076,Beras Putih Medium 10kg,4.2,1100,beras putih medium 10 kilo
p077,Padi Inpari 30 Non GMO,4.0,320,padi inpari 30 non gmo
p078,Beras Merah Cap Daun 2kg,4.3,520,beras merah cap daun 2 kilo
p079,Beras Diet Sehat Kalori Rendah 2kg,4.6,590,beras diet kalori rendah 2 kilo
p080,Padi Organik Subur Makmur 3kg,4.4,280,padi organik subur makmur 3 kilo
p081,Beras Hitam Superfood 3kg,4.8,670,beras hitam superfood 3 kilo
p082,Beras Pandan Wangi Cap Gajah 7kg,4.9,1900,beras pandan wangi cap gajah 7 kilo
p083,Padi Coklat Lokal Unggul 3kg,4.1,230,padi coklat lokal unggul 3 kilo
p084,Beras Cap Jempol Medium 7kg,4.3,880,beras cap jempol medium 7 kilo
p085,Beras IR64 Lokal 7kg,4.2,930,beras ir64 lokal 7 kilo
p086,Padi Petani Mandiri IR64 3kg,3.8,220,padi petani mandiri ir64 3 kilo
p087,Beras Organik Cap Daun 7kg,4.7,860,beras organik cap daun 7 kilo
p088,Beras Ketan Hitam Cap Bulan 3kg,4.5,540,beras ketan hitam cap bulan 3 kilo
p089,Padi Inpari 32 Anti Hama 3kg,4.0,340,padi inpari 32 tahan hama 3 kilo
p090,Beras Wangi Thailand Import 7kg,4.9,1700,beras wangi thailand import 7 kilo
p091,Beras Super Premium 7kg,4.8,1250,beras super premium 7 kilo
p092,Padi IR64 Unggul 3kg,4.3,460,padi ir64 unggul 3 kilo
p093,Beras Putih Cap Ayam 3kg,4.5,1080,beras putih cap ayam 3 kilo
p094,Beras Merah Organik 5kg,4.6,720,beras merah organik 5 kilo
p095,Padi Hibrida Inpari 33,4.0,270,padi hibrida inpari 33
p096,Beras Hitam Ketan Organik 3kg,4.8,510,beras hitam ketan organik 3 kilo
p097,Beras Coklat Sehat 4kg,4.4,640,beras coklat sehat 4 kilo
p098,Padi Lokal IR42 Unggul 3kg,4.2,400,padi lokal ir42 unggul 3 kilo
p099,Beras Putih Medium 3kg,4.3,1070,beras putih medium 3 kilo
p100,Beras Pandan Wangi Super 3kg,4.9,1740,beras pandan wangi super 3 kilo
p101,Padi IR42 Grade A 3kg,4.1,320,padi ir42 grade a 3 kilo
p102,Beras Rendah Gula Cap Sehat 4kg,4.6,710,beras rendah gula cap sehat 4 kilo
p103,Beras Organik Cap Daun 4kg,4.7,730,beras organik cap daun 4 kilo
p104,Padi Gogo Tahan Kekeringan 3kg,3.9,250,padi gogo tahan kekeringan 3 kilo
p105,Beras Super IR64 Cap Kupu 4kg,4.5,920,beras super ir64 cap kupu 4 kilo
p106,Beras Putih Medium 4kg,4.2,1120,beras putih medium 4 kilo
p107,Padi Inpari 30 Non GMO 4kg,4.0,330,padi inpari 30 non gmo 4 kilo
p108,Beras Merah Cap Daun 3kg,4.3,530,beras merah cap daun 3 kilo
p109,Beras Diet Sehat Kalori Rendah 3kg,4.6,600,beras diet kalori rendah 3 kilo
p110,Padi Organik Subur Makmur 4kg,4.4,290,padi organik subur makmur 4 kilo
p111,Beras Hitam Superfood 4kg,4.8,680,beras hitam superfood 4 kilo
p112,Beras Pandan Wangi Cap Gajah 8kg,4.9,1920,beras pandan wangi cap gajah 8 kilo
p113,Padi Coklat Lokal Unggul 4kg,4.1,240,padi coklat lokal unggul 4 kilo
p114,Beras Cap Jempol Medium 8kg,4.3,900,beras cap jempol medium 8 kilo
p115,Beras IR64 Lokal 8kg,4.2,940,beras ir64 lokal 8 kilo
p116,Padi Petani Mandiri IR64 4kg,3.8,230,padi petani mandiri ir64 4 kilo
p117,Beras Organik Cap Daun 8kg,4.7,870,beras organik cap daun 8 kilo
p118,Beras Ketan Hitam Cap Bulan 4kg,4.5,550,beras ketan hitam cap bulan 4 kilo
p119,Padi Inpari 32 Anti Hama 4kg,4.0,350,padi inpari 32 tahan hama 4 kilo
p120,Beras Wangi Thailand Import 8kg,4.9,1750,beras wangi thailand import 8 kilo
